45,100
154,73
20,79
17,115
55,81
32,74
51,122
77,142
34,57
83,36
120,160
1,a3,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,a3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,a4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
1,a3,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,a3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,a4,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1
1,a3,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,a3,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,a4,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,2,1,1,1,2,0,0,0,2,1,2,1,2,2,1,1,1,1,0,2,2,0,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
0,a3,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,a3,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,a4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,0,1,0,1,1,2,1,2,0,2,2,1,1,0,2,2,0,1,0,1,2,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1,a3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,a3,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,a4,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,2,2,2,2,1,2,2,0,1,0,2,2,1,0,1,1,1,0,2,2,2,1,1,1,0,1,0,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0
1,a3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,a3,1,1,0,1,0,1,0,2,1,2,1,1,2,1,0,0,1,2,b4,2,0,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,0,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,0,2,1,2,0,1,1,0,2,2,1,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,a3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,a3,0,1,1,1,1,1,0,0,2,0,0,2,1,2,2,1,1,1,a4,2,2,1,2,0,0,2,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,2,1,2,1,0,2,0,0,0,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,a3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,a3,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,0,2,1,a4,1,2,2,2,1,0,2,0,1,2,2,1,2,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,0,1,2,1,2,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,a3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,a3,1,0,0,0,1,0,1,2,1,1,0,1,2,1,2,0,2,1,b4,1,2,1,1,2,1,1,2,1,1,1,2,0,1,1,1,0,1,1,1,0,0,0,1,1,1,2,0,1,1,2,1,2,2,2,1,2,2,2,0,1,1,0,2,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1,a3,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,a3,1,0,1,1,1,0,0,1,1,2,1,1,1,2,0,2,2,1,b4,0,0,0,1,0,0,1,2,1,1,0,1,1,1,1,1,0,0,0,2,1,2,1,1,0,1,1,2,1,1,1,1,0,1,1,2,2,1,1,2,1,2,1,0,2,2,2,0,2,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
